name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Juergen Soellner,---,269,---,2181,45-49,53,---,DEU,---,---,00:33:49,1.9 km,00:04:18,02:37:04,90.1 km,00:01:53,01:32:10,21.1 km,04:49:14
Aleksandar Soerensen-Markovic,---,31,---,34,PRO,38,---,DNK,---,---,00:27:20,1.9 km,00:02:13,02:20:10,90.1 km,00:01:15,01:20:50,21.1 km,04:11:48
Heike Solbrig,---,1836,---,837,30-34,40,---,DEU,---,---,00:53:44,1.9 km,00:06:03,03:30:14,90.1 km,00:04:32,02:32:16,21.1 km,07:06:49
Marie-Louise Sølyst,---,1247,---,899,35-39,42,---,DNK,---,---,00:34:48,1.9 km,00:04:12,03:14:06,90.1 km,00:03:28,01:42:13,21.1 km,05:38:47
Ulrich Sommer,---,770,---,1057,50-54,59,---,DEU,---,---,00:34:16,1.9 km,00:04:20,02:54:55,90.1 km,00:03:11,01:39:32,21.1 km,05:16:14
Andrea Sommerauer,---,1348,---,900,35-39,42,Nieder?sterreich / Lower Austria,AUT,---,---,00:45:47,1.9 km,00:05:48,03:09:44,90.1 km,00:03:07,01:40:43,21.1 km,05:45:09
Klaus Sommerauer,---,---,DNS,1882,40-44,---,Steiermark / Styria,AUT,---,---,---,1.9 km,---,---,90.1 km,---,---,21.1 km,DNS
Markus Sommerauer,---,1202,---,345,25-29,35,Lawer Austria,AUT,---,---,00:48:09,1.9 km,00:05:06,02:57:27,90.1 km,00:01:44,01:44:10,21.1 km,05:36:36
Matthias Sommeregger,---,839,---,1532,35-39,---,---,AUT,---,---,00:45:07,1.9 km,00:05:51,02:40:06,90.1 km,00:02:13,01:45:23,21.1 km,05:18:40
Hartwig Sorger,---,1432,---,1058,50-54,---,---,AUT,---,---,00:47:14,1.9 km,00:04:08,03:05:59,90.1 km,00:03:24,01:50:27,21.1 km,05:51:12
Karl Sorger,---,928,---,719,30-34,39,Steiermark / Styria,AUT,---,---,00:41:42,1.9 km,00:05:50,02:53:19,90.1 km,00:02:13,01:39:37,21.1 km,05:22:41
Richard Soto,---,1138,---,1459,35-39,44,NV,USA,---,---,00:41:21,1.9 km,00:03:46,02:57:13,90.1 km,00:02:15,01:48:25,21.1 km,05:33:00
Ann-Kathrin Sourell,---,451,---,172,18-24,29,---,DEU,---,---,00:36:10,1.9 km,00:03:34,02:42:39,90.1 km,00:01:31,01:35:30,21.1 km,04:59:24
Gessica Spagnolli,---,920,---,838,30-34,---,TN,ITA,---,---,00:39:11,1.9 km,00:04:48,02:59:14,90.1 km,00:02:23,01:36:39,21.1 km,05:22:15
Piera Spagnolli,---,1281,---,940,40-44,---,TN,ITA,---,---,00:38:54,1.9 km,00:05:01,03:01:43,90.1 km,00:02:26,01:52:09,21.1 km,05:40:13
Franz Spalek,---,---,DNS,346,25-29,---,Niederösterreich / Lower Austr,AUT,---,---,---,1.9 km,---,---,90.1 km,---,---,21.1 km,DNS
Johann Spatling,---,332,---,347,25-29,34,AT,AUT,---,---,00:36:29,1.9 km,00:04:53,02:34:17,90.1 km,00:02:39,01:34:32,21.1 km,04:52:50
Hermann Spielbichler,---,1210,---,1883,40-44,51,AT,AUT,---,---,00:46:02,1.9 km,00:04:50,03:00:54,90.1 km,00:02:15,01:42:49,21.1 km,05:36:50
Eva Spielvogel,---,1625,---,901,35-39,---,---,AUT,---,---,00:43:05,1.9 km,00:05:54,03:17:53,90.1 km,00:03:28,02:00:26,21.1 km,06:10:46
Linda Spirig,---,1001,---,839,30-34,40,---,CHE,---,---,00:37:28,1.9 km,00:03:10,02:51:15,90.1 km,00:02:27,01:52:02,21.1 km,05:26:22
Martin Spitzbart,---,1396,---,1461,35-39,---,---,AUT,---,---,00:40:28,1.9 km,00:04:40,03:03:00,90.1 km,00:02:16,01:58:35,21.1 km,05:48:59
Johannes Spitzenberg,---,1161,---,1059,50-54,---,Niederösterreich / Lower Austr,AUT,---,---,00:42:59,1.9 km,00:04:34,02:50:26,90.1 km,00:04:03,01:52:21,21.1 km,05:34:23
Ruud Sprangers,---,728,---,2183,45-49,52,---,BEL,---,---,00:35:35,1.9 km,00:04:45,02:48:43,90.1 km,00:02:13,01:42:17,21.1 km,05:13:33
