name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Alessandro Valenti,133,20,134,1018,40-44,43,---,ITA,---,2961,---,1.9 km,00:00:01,02:44:16,90.1 km,00:01:41,01:37:02,21.1 km,04:23:00
Giovanni Mazzei,134,32,135,295,30-34,31,Lecco,ITA,---,3044,---,1.9 km,00:00:01,02:54:26,90.1 km,00:02:40,01:26:03,21.1 km,04:23:10
Georg Findenig,135,23,136,460,35-39,36,AT,AUT,---,3101,---,1.9 km,00:00:01,02:42:05,90.1 km,00:02:11,01:39:00,21.1 km,04:23:17
Stefano La Cara,136,24,137,515,35-39,38,RM,ITA,---,3100,---,1.9 km,00:00:01,02:46:10,90.1 km,00:04:36,01:32:33,21.1 km,04:23:20
Alberto Baracco,137,25,138,398,35-39,38,---,ITA,---,3099,---,1.9 km,00:00:01,02:49:15,90.1 km,00:02:02,01:32:05,21.1 km,04:23:23
Anthony La Salandra,138,33,139,269,30-34,32,ITA,ITA,---,3035,---,1.9 km,00:00:01,02:51:07,90.1 km,00:01:47,01:30:44,21.1 km,04:23:39
Vjekoslav Jantolic,139,26,140,499,35-39,40,DE,DEU,---,3090,---,1.9 km,00:00:01,02:40:36,90.1 km,00:03:21,01:39:53,21.1 km,04:23:51
Joze Kojc,140,17,141,1143,45-49,47,APO,SVN,---,2879,---,1.9 km,00:00:01,02:43:04,90.1 km,00:02:35,01:38:23,21.1 km,04:24:03
Alessandro Fagherazzi,141,24,142,41,25-29,30,Italia,ITA,---,2975,---,1.9 km,00:00:01,02:49:46,90.1 km,00:01:40,01:32:36,21.1 km,04:24:03
Giovanni Marangon,142,18,143,1160,45-49,45,Italia,ITA,---,2878,---,1.9 km,00:00:01,02:49:33,90.1 km,00:02:26,01:32:07,21.1 km,04:24:07
Oliver Arera,143,27,144,394,35-39,40,Bayern,DEU,---,3085,---,1.9 km,00:00:01,02:44:45,90.1 km,00:01:55,01:37:28,21.1 km,04:24:09
Markus Ritter,144,21,145,1611,40-44,44,AT,AUT,---,2939,---,1.9 km,00:00:01,02:44:24,90.1 km,00:02:07,01:37:41,21.1 km,04:24:13
Giacomo Trabattoni,145,9,146,17,18-24,23,---,CHE,---,2917,---,1.9 km,00:00:01,02:29:34,90.1 km,00:01:37,01:53:06,21.1 km,04:24:18
