name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Jaroslaw Mikos,126,17,135,769,45-49,48,---,POL,---,2940,---,1.9 km,00:01:39,02:23:04,90.1 km,00:02:17,01:45:16,21.1 km,04:12:16
Nawaf Al Dhaen,127,7,136,380,25-29,29,QLD,BHR,---,2816,---,1.9 km,00:01:20,02:25:59,90.1 km,00:02:21,01:42:37,21.1 km,04:12:17
Jamie Anderson,128,22,137,911,30-34,32,United Kingdom,GBR,---,2860,---,1.9 km,00:01:38,02:35:35,90.1 km,00:01:58,01:33:16,21.1 km,04:12:27
Carina Brechters,10,7,138,62,PRO,26,---,DEU,---,2699,---,1.9 km,00:01:18,02:32:38,90.1 km,00:00:56,01:37:56,21.1 km,04:12:48
Rinat Mustafin,129,22,139,544,35-39,37,---,RUS,---,2863,---,1.9 km,00:01:32,02:28:29,90.1 km,00:01:19,01:41:39,21.1 km,04:12:59
Jamal Aldosary,130,18,140,796,45-49,---,BA,BHR,---,2920,---,1.9 km,00:01:40,02:22:26,90.1 km,00:01:52,01:47:26,21.1 km,04:13:24
Michael Schnitzler,131,23,141,138,30-34,35,---,AUT,---,2842,---,1.9 km,00:01:27,02:19:13,90.1 km,00:01:20,01:51:27,21.1 km,04:13:27
Kenneth Heney,132,23,142,485,35-39,40,DXB,GBR,---,2852,---,1.9 km,00:01:31,02:26:38,90.1 km,00:00:40,01:44:47,21.1 km,04:13:36
Fredrik Modin,133,15,143,707,40-44,45,SE,SWE,---,2821,---,1.9 km,00:01:29,02:21:00,90.1 km,00:01:23,01:49:49,21.1 km,04:13:41
Volker Johannes Hemberger,134,3,144,152,55-59,58,DE,DEU,---,3410,---,1.9 km,00:01:29,02:30:49,90.1 km,00:01:39,01:40:03,21.1 km,04:14:00
Gary Cummings,135,24,145,548,35-39,37,Other,GBR,---,2838,---,1.9 km,00:01:28,02:38:17,90.1 km,00:01:52,01:32:46,21.1 km,04:14:23
Brandan Knibiehly,136,24,146,395,30-34,---,DE,BEL,---,2820,---,1.9 km,00:01:34,02:32:01,90.1 km,00:02:08,01:38:56,21.1 km,04:14:39
Benjamin Hans,137,8,147,348,25-29,28,CA,USA,---,2774,---,1.9 km,00:01:38,02:30:05,90.1 km,00:01:17,01:41:40,21.1 km,04:14:40
Marion Tuin,11,3,148,199,30-34,---,NL,NLD,---,3340,---,1.9 km,00:01:29,02:28:50,90.1 km,00:01:58,01:42:35,21.1 km,04:14:52
Neil Wood,138,16,149,920,40-44,41,south yorkshire,GBR,---,2796,---,1.9 km,00:01:20,02:29:19,90.1 km,00:00:53,01:43:31,21.1 km,04:15:03
Martin Gannon,139,4,150,129,55-59,59,---,GBR,---,3382,---,1.9 km,00:01:21,02:28:37,90.1 km,00:01:00,01:44:37,21.1 km,04:15:35
Ramazan Emre Apaydin,140,9,151,122,25-29,29,sisli,TUR,---,2745,---,1.9 km,00:01:23,02:21:25,90.1 km,00:00:59,01:52:28,21.1 km,04:16:15
Christian Scaccianoce,141,25,152,552,35-39,38,Dorset,ITA,---,2795,---,1.9 km,00:01:28,02:23:02,90.1 km,00:01:21,01:50:57,21.1 km,04:16:48
Greer Ann Sansom,12,1,153,273,45-49,48,---,AUS,---,3500,---,1.9 km,00:01:25,02:25:41,90.1 km,00:01:01,01:48:48,21.1 km,04:16:55
Lucy Woollacott,13,1,154,219,35-39,38,DXB,GBR,---,3500,---,1.9 km,00:01:34,02:30:08,90.1 km,00:01:23,01:43:51,21.1 km,04:16:56
Metin Aroyo,143,11,156,843,50-54,54,Turkey,TUR,---,3082,---,1.9 km,00:01:44,02:33:36,90.1 km,00:02:06,01:39:50,21.1 km,04:17:16
Annie Frederick,14,2,157,156,18-24,23,---,GBR,---,3208,---,1.9 km,00:01:24,02:29:13,90.1 km,00:00:54,01:45:48,21.1 km,04:17:19
Sylvain Girardeau,144,10,158,365,25-29,---,FR,FRA,---,2723,---,1.9 km,00:01:29,02:34:14,90.1 km,00:01:20,01:40:27,21.1 km,04:17:30
Ali Riza Bilal,146,17,160,726,40-44,43,İstanbul  Turkey,TUR,---,2747,---,1.9 km,00:01:33,02:25:15,90.1 km,00:01:28,01:49:31,21.1 km,04:17:47
Christopher Newman,147,19,161,764,45-49,49,Hertfordshire,GBR,---,2840,---,1.9 km,00:01:51,02:29:37,90.1 km,00:01:26,01:44:56,21.1 km,04:17:50
Robin Card,148,26,162,588,35-39,---,AU,GBR,---,2775,---,1.9 km,00:01:36,02:29:54,90.1 km,00:01:58,01:44:24,21.1 km,04:17:52
Ander Mendia Larrinaga,149,11,163,339,25-29,29,ES,ESP,---,2714,---,1.9 km,00:01:25,02:27:47,90.1 km,00:01:21,01:47:26,21.1 km,04:17:59
David Gallarato,150,27,164,579,35-39,---,IT,ITA,---,2773,---,1.9 km,00:01:31,02:26:11,90.1 km,00:01:26,01:48:51,21.1 km,04:17:59
Osama Al-Adhamy,151,28,165,484,35-39,38,DXB,ARE,---,2773,---,1.9 km,00:01:21,02:24:20,90.1 km,00:01:49,01:50:30,21.1 km,04:18:00
Dmitry Mishanin,152,25,166,410,30-34,---,MA,RUS,---,2757,---,1.9 km,00:01:21,02:24:56,90.1 km,00:01:14,01:50:37,21.1 km,04:18:08
Hasan  Itani,154,18,168,621,40-44,44,Other,LBN,---,2738,---,1.9 km,00:01:32,02:28:55,90.1 km,00:01:26,01:46:24,21.1 km,04:18:17
Muratkhan Tokmadi,155,20,169,800,45-49,50,Almaty,KAZ,---,2831,---,1.9 km,00:01:34,02:27:28,90.1 km,00:02:10,01:47:07,21.1 km,04:18:19
Omar Buti,156,5,170,299,18-24,---,RI,BHR,---,2843,---,1.9 km,00:01:14,02:32:16,90.1 km,00:01:13,01:43:44,21.1 km,04:18:27
Alex Harris,157,26,171,418,30-34,35,London,GBR,---,2750,---,1.9 km,00:01:21,02:27:08,90.1 km,00:01:31,01:48:34,21.1 km,04:18:34
Belal Hassan,158,27,172,474,30-34,32,Egypt,EGY,---,2749,---,1.9 km,00:01:21,02:30:41,90.1 km,00:01:13,01:45:21,21.1 km,04:18:36
