name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Anthony Callaghan,---,431,---,867,35-39,40,---,AUS,---,---,00:46:49,1.9 km,00:04:22,02:49:10,90.1 km,00:01:35,02:02:12,21.1 km,05:44:08
Dane Cantwell,---,33,---,409,30-34,37,Pok Fu Lam,NZL,---,---,00:33:55,1.9 km,00:02:32,02:19:18,90.1 km,00:00:51,01:35:42,21.1 km,04:32:18
Desmond Carbery,---,327,---,1368,45-49,51,SG,IRL,---,---,00:48:11,1.9 km,00:04:52,02:43:02,90.1 km,00:02:27,01:52:49,21.1 km,05:31:21
Tim Carpenter,---,101,---,380,30-34,38,---,AUS,---,---,00:39:03,1.9 km,00:02:52,02:19:05,90.1 km,00:01:16,01:56:29,21.1 km,04:58:45
Amanda Carpo,---,185,---,124,35-39,41,CA,PHL,---,---,00:53:27,1.9 km,00:03:29,02:26:41,90.1 km,00:01:11,01:48:56,21.1 km,05:13:44
David Carr,---,419,---,876,35-39,---,---,GBR,---,---,00:48:26,1.9 km,00:04:11,02:46:04,90.1 km,00:01:58,02:01:58,21.1 km,05:42:37
Stephen Carr,---,707,---,1417,45-49,52,---,GBR,---,---,00:50:21,1.9 km,00:03:58,02:54:17,90.1 km,00:02:47,02:25:06,21.1 km,06:16:29
Fabrizio Carrettin,---,263,---,1324,45-49,51,---,AUS,---,---,00:57:41,1.9 km,00:03:28,02:31:02,90.1 km,00:01:41,01:50:22,21.1 km,05:24:14
Ferdinand Catabian Ii,---,71,---,446,30-34,37,---,PHL,---,---,00:37:16,1.9 km,00:03:16,02:27:24,90.1 km,00:01:36,01:39:55,21.1 km,04:49:27
Chian Chai,---,794,---,300,25-29,33,---,SGP,---,---,00:52:26,1.9 km,00:05:44,02:46:20,90.1 km,00:04:19,02:36:51,21.1 km,06:25:40
Bernard Chan,---,998,---,1467,50-54,57,---,SGP,---,---,01:04:50,1.9 km,00:06:00,03:10:10,90.1 km,00:02:41,02:29:59,21.1 km,06:53:40
Carl Chan,---,281,---,1358,45-49,51,SG,SGP,---,---,00:37:40,1.9 km,00:03:20,02:29:20,90.1 km,00:01:52,02:13:48,21.1 km,05:26:00
Chan Chan,---,---,DNF,329,25-29,---,Singapore,SGP,---,---,00:57:01,1.9 km,00:06:48,03:42:19,90.1 km,00:01:55,01:09:26,21.1 km,DNF
Chee Meng Chan,---,511,---,1052,40-44,47,SG,SGP,---,---,01:00:03,1.9 km,00:05:56,02:38:17,90.1 km,00:02:57,02:05:41,21.1 km,05:52:54
Clarence Chan,---,1109,---,1333,45-49,51,---,SGP,---,---,00:59:24,1.9 km,00:06:09,03:48:57,90.1 km,00:03:29,02:27:16,21.1 km,07:25:15
Danny Chan,---,680,---,468,30-34,37,---,SGP,---,---,00:50:22,1.9 km,00:05:57,02:48:22,90.1 km,00:03:30,02:26:04,21.1 km,06:14:15
Jason Chan,---,769,---,713,35-39,41,---,SGP,---,---,01:01:27,1.9 km,00:04:43,03:01:27,90.1 km,00:03:05,02:13:01,21.1 km,06:23:43
Leo Chan,---,295,---,639,35-39,42,---,HKG,---,---,00:45:05,1.9 km,00:03:04,02:39:05,90.1 km,00:01:21,01:58:54,21.1 km,05:27:29
Weng Yew Chan,---,678,---,1385,45-49,52,---,SGP,---,---,00:53:53,1.9 km,00:04:47,02:48:43,90.1 km,00:03:48,02:22:45,21.1 km,06:13:56
Xin Wei Chan,---,896,---,239,25-29,29,---,SGP,---,---,00:57:21,1.9 km,00:05:06,02:48:34,90.1 km,00:03:51,02:44:42,21.1 km,06:39:34
Adrian Chan Cm,---,595,---,736,35-39,40,---,SGP,---,---,00:50:43,1.9 km,00:03:52,02:40:32,90.1 km,00:03:05,02:25:28,21.1 km,06:03:40
Robert Chan Siew Chin,---,781,---,820,35-39,---,Singapore,SGP,---,---,00:51:38,1.9 km,00:05:28,03:21:11,90.1 km,00:04:48,02:01:38,21.1 km,06:24:43
Daniel Chandler,---,656,---,526,30-34,37,---,GBR,---,---,00:46:53,1.9 km,00:02:57,02:35:10,90.1 km,00:02:17,02:44:06,21.1 km,06:11:23
Mark Chang,---,1096,---,1397,45-49,54,---,SGP,---,---,01:01:32,1.9 km,00:07:10,03:21:41,90.1 km,00:04:13,02:44:32,21.1 km,07:19:08
Pang-Wen Chang,---,557,---,1530,65-69,70,---,TWN,---,---,01:00:37,1.9 km,00:04:35,02:50:36,90.1 km,00:02:00,02:01:02,21.1 km,05:58:50
Wai Choon Chang,---,---,DNF,1341,45-49,53,---,SGP,---,---,01:09:56,1.9 km,00:06:18,04:31:06,90.1 km,---,00:03:51,21.1 km,DNF
Sean Chapman,---,929,---,569,35-39,39,---,USA,---,---,00:45:57,1.9 km,00:04:31,02:58:19,90.1 km,00:03:07,02:51:42,21.1 km,06:43:36
Gia Yee Chau,---,654,---,84,30-34,36,---,SGP,---,---,00:51:34,1.9 km,00:04:04,03:01:16,90.1 km,00:02:39,02:11:36,21.1 km,06:11:09
Fook Weng Chee,---,1020,---,1152,40-44,46,---,SGP,---,---,00:59:05,1.9 km,00:03:43,03:03:23,90.1 km,00:03:19,02:47:37,21.1 km,06:57:07
Kung-Ku Chen,---,833,---,1219,40-44,49,---,TWN,---,---,01:10:33,1.9 km,00:04:18,02:45:37,90.1 km,00:02:15,02:27:13,21.1 km,06:29:56
Nam Hin Terence Chen,---,---,DNS,842,35-39,---,Singapore,SGP,---,---,---,1.9 km,---,---,90.1 km,---,---,21.1 km,DNS
Puishan Chen,---,623,---,51,25-29,31,---,SGP,---,---,00:51:26,1.9 km,00:04:11,03:00:04,90.1 km,00:02:15,02:10:08,21.1 km,06:08:04
Christopher Cheng,---,582,---,1457,50-54,59,---,SGP,---,---,00:53:55,1.9 km,00:05:40,02:49:37,90.1 km,00:02:26,02:10:17,21.1 km,06:01:55
Daniel Cheng,---,1167,---,722,35-39,43,SINGAPORE,SGP,---,---,01:03:20,1.9 km,00:07:38,03:04:05,90.1 km,00:03:43,03:38:36,21.1 km,07:57:22
Hoewai Cheng,---,917,---,1084,40-44,---,Singapore,SGP,---,---,01:04:50,1.9 km,00:08:23,03:00:18,90.1 km,00:04:09,02:24:20,21.1 km,06:42:00
