name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Sandro Correa,61,7,70,268,40-44,44,---,BRA,---,2915,00:23:03,1.9 km,00:03:19,02:48:42,90.1 km,00:02:17,01:43:56,21.1 km,05:01:17
Dennis Vargas,62,8,71,326,40-44,44,---,CRI,---,2915,00:28:13,1.9 km,00:04:21,02:48:15,90.1 km,00:02:13,01:38:16,21.1 km,05:01:18
Ernesto Fernandez,63,8,72,536,25-29,29,Intl State,PAN,---,2953,00:25:47,1.9 km,00:03:31,02:42:51,90.1 km,00:01:57,01:47:16,21.1 km,05:01:22
Juan Sebastian Herrera Garcia ,64,9,73,667,25-29,28,---,COL,---,2931,00:28:34,1.9 km,00:03:58,02:46:43,90.1 km,00:02:16,01:41:04,21.1 km,05:02:35
Carlos Martinez,65,11,74,479,30-34,34,---,COL,---,2873,00:21:22,1.9 km,00:03:46,02:43:42,90.1 km,00:02:53,01:51:40,21.1 km,05:03:23
Hugo Macias,66,10,75,671,25-29,28,---,MEX,---,2913,00:27:40,1.9 km,00:03:37,02:46:02,90.1 km,00:02:47,01:43:28,21.1 km,05:03:34
Matías Luis Reniero,67,1,76,556,18-24,23,Santa Fe,ARG,---,3500,00:26:19,1.9 km,00:04:25,02:42:41,90.1 km,00:02:30,01:48:16,21.1 km,05:04:11
Francisco Cavalcanti,68,9,77,292,40-44,43,---,BRA,---,2857,00:26:30,1.9 km,00:03:44,02:50:29,90.1 km,00:02:27,01:41:21,21.1 km,05:04:31
Manuel Rojas,69,12,78,508,30-34,37,Intl State,CRI,---,2841,00:29:05,1.9 km,00:06:20,02:44:27,90.1 km,00:03:48,01:41:29,21.1 km,05:05:09
Rodrigo Bodanese,70,11,79,523,25-29,28,RS,BRA,---,2883,00:23:19,1.9 km,00:04:04,02:51:07,90.1 km,00:02:20,01:44:23,21.1 km,05:05:13
