name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Paul Worroll,93,6,106,772,45-49,48,QLD,AUS,---,3151,00:29:56,1.9 km,00:04:53,02:38:13,90.1 km,00:01:17,01:35:49,21.1 km,04:50:08
Alexey Zhavoronkov,95,16,108,438,35-39,36,---,RUS,---,2874,00:35:08,1.9 km,00:04:57,02:36:05,90.1 km,00:01:31,01:32:40,21.1 km,04:50:21
Daniel Edge,96,19,109,233,30-34,32,NSW,AUS,---,2981,00:30:33,1.9 km,00:04:19,02:27:08,90.1 km,00:01:39,01:46:43,21.1 km,04:50:22
Paul Nolan,97,20,110,262,30-34,35,New Zealand,NZL,---,2975,00:30:34,1.9 km,00:04:24,02:32:48,90.1 km,00:01:27,01:41:28,21.1 km,04:50:41
Taryn Ryan,14,3,111,200,25-29,116,NZ,NZL,---,3210,00:28:02,1.9 km,00:03:54,02:36:47,90.1 km,00:01:11,01:41:01,21.1 km,04:50:55
Charlie Hammond,98,11,112,64,18-24,24,VIC,AUS,---,2776,00:30:45,1.9 km,00:05:01,02:31:04,90.1 km,00:02:21,01:41:47,21.1 km,04:50:58
Mark Burke,99,5,113,828,50-54,54,NZ,NZL,---,3213,00:35:13,1.9 km,00:04:33,02:24:49,90.1 km,00:01:39,01:44:51,21.1 km,04:51:05
Aaron Hewitt,100,21,114,239,30-34,30,QLD,AUS,---,2967,00:31:49,1.9 km,00:04:16,02:38:20,90.1 km,00:01:32,01:35:13,21.1 km,04:51:10
Veiko Termonen,101,17,115,420,35-39,36,NZ,EST,---,2858,00:33:42,1.9 km,00:04:18,02:34:45,90.1 km,00:01:29,01:36:58,21.1 km,04:51:12
Francesca Stafford,15,1,117,1011,18-24,23,---,NZL,---,3500,00:29:17,1.9 km,00:03:58,02:40:39,90.1 km,00:01:18,01:36:40,21.1 km,04:51:52
Peter Kane,103,1,118,933,55-59,57,NZ,NZL,---,3500,00:39:47,1.9 km,00:04:47,02:24:33,90.1 km,00:01:46,01:41:01,21.1 km,04:51:54
Natalie Gaskin,16,2,119,1041,30-34,35,NZ,NZL,---,3448,00:29:15,1.9 km,00:04:33,02:33:52,90.1 km,00:01:16,01:43:08,21.1 km,04:52:04
Glenn Van Hellemond,104,16,120,612,40-44,41,NZ,NZL,---,2909,00:31:41,1.9 km,00:05:42,02:29:33,90.1 km,00:01:36,01:43:39,21.1 km,04:52:11
Kit Bennett,105,12,121,53,18-24,25,NZ,NZL,---,2753,00:31:23,1.9 km,00:04:15,02:41:37,90.1 km,00:01:11,01:33:47,21.1 km,04:52:13
Kevin Thompson,106,6,122,879,50-54,51,---,NZL,---,3191,00:35:03,1.9 km,00:05:17,02:32:46,90.1 km,00:01:39,01:37:34,21.1 km,04:52:19
Douglas Scott,107,2,123,1058,55-59,56,NZ,NZL,---,3488,00:34:04,1.9 km,00:05:36,02:33:53,90.1 km,00:02:21,01:36:37,21.1 km,04:52:31
Andrew Balsillie,108,7,124,823,50-54,51,---,NZL,---,3183,00:34:05,1.9 km,00:04:35,02:38:57,90.1 km,00:02:38,01:32:30,21.1 km,04:52:45
Christopher Pulford,109,7,125,742,45-49,47,---,NZL,---,3099,00:36:06,1.9 km,00:05:54,02:34:28,90.1 km,00:01:47,01:34:47,21.1 km,04:53:02
Mark Haydon,110,18,126,375,35-39,38,New Zealand,NZL,---,2816,00:30:59,1.9 km,00:04:42,02:39:02,90.1 km,00:01:12,01:37:37,21.1 km,04:53:32
Michael Jr Gilbert,111,8,127,841,50-54,51,QLD,NZL,---,3165,00:36:14,1.9 km,00:05:31,02:36:24,90.1 km,00:01:39,01:33:56,21.1 km,04:53:44
James Mcgrogan,112,17,128,565,40-44,45,---,NZL,---,2882,00:32:21,1.9 km,00:04:33,02:30:29,90.1 km,00:01:43,01:44:38,21.1 km,04:53:44
Ben Wallbank,113,22,129,292,30-34,32,Taranaki,NZL,---,2920,00:32:39,1.9 km,00:04:09,02:39:07,90.1 km,00:01:15,01:36:36,21.1 km,04:53:46
Victor Martinovich,114,9,130,856,50-54,51,---,NZL,---,3164,00:40:34,1.9 km,00:04:30,02:35:29,90.1 km,00:01:57,01:31:18,21.1 km,04:53:48
Lee Cartmell,115,19,131,351,35-39,39,wellington,NZL,---,2811,00:32:58,1.9 km,00:07:04,02:37:13,90.1 km,00:02:54,01:33:40,21.1 km,04:53:49
Kristine Reid,17,1,132,804,45-49,---,NZ,NZL,---,3500,00:32:12,1.9 km,00:04:11,02:44:09,90.1 km,00:01:37,01:31:52,21.1 km,04:54:01
Tamara Reed,18,3,133,329,30-34,32,---,NZL,---,3410,00:32:32,1.9 km,00:03:49,02:44:09,90.1 km,00:01:14,01:32:26,21.1 km,04:54:10
David Metcalfe,116,18,134,569,40-44,41,---,NZL,---,2858,00:34:38,1.9 km,00:04:18,02:36:40,90.1 km,00:01:31,01:37:56,21.1 km,04:55:03
Richard Malcolm,117,13,135,71,18-24,25,NZ,NZL,---,2698,00:34:45,1.9 km,00:05:14,02:37:02,90.1 km,00:02:43,01:35:33,21.1 km,04:55:17
James Turner,118,10,136,881,50-54,53,NZ,NZL,---,3137,00:38:12,1.9 km,00:04:16,02:32:39,90.1 km,00:01:33,01:38:37,21.1 km,04:55:17
Ed Banks,119,19,137,489,40-44,41,WGN,NZL,---,2849,00:32:00,1.9 km,00:04:45,02:23:35,90.1 km,00:03:25,01:51:46,21.1 km,04:55:31
Luke Woods,120,20,138,436,35-39,38,NZ,NZL,---,2780,00:33:29,1.9 km,00:04:29,02:31:24,90.1 km,00:01:11,01:44:59,21.1 km,04:55:32
Scott Mison,121,21,139,405,35-39,40,WA,AUS,---,2779,00:36:48,1.9 km,00:07:04,02:23:01,90.1 km,00:02:54,01:45:51,21.1 km,04:55:38
Reece Stieller,122,10,140,154,25-29,27,---,NZL,---,2897,00:29:29,1.9 km,00:05:12,02:30:30,90.1 km,00:02:34,01:47:54,21.1 km,04:55:39
Peter Legget,123,14,141,69,18-24,23,NZ,GBR,---,2690,00:33:00,1.9 km,00:05:19,02:37:16,90.1 km,00:02:23,01:37:46,21.1 km,04:55:44
Benjamin Eitelberg,125,22,143,366,35-39,39,NZ,NZL,---,2772,00:30:24,1.9 km,00:04:21,02:27:58,90.1 km,00:02:01,01:51:17,21.1 km,04:56:01
Kirk Roberts,126,20,144,588,40-44,44,NZ,NZL,---,2839,00:37:36,1.9 km,00:04:23,02:35:14,90.1 km,00:01:45,01:37:07,21.1 km,04:56:05
Ross Plumpton,127,8,145,741,45-49,46,NZ,NZL,---,3044,00:35:14,1.9 km,00:03:55,02:39:54,90.1 km,00:01:29,01:35:34,21.1 km,04:56:06
Callum Ross,128,15,146,82,18-24,20,---,NZL,---,2675,00:28:17,1.9 km,00:03:55,02:35:54,90.1 km,00:02:38,01:45:49,21.1 km,04:56:33
Matthew Mcqueen,129,16,147,75,18-24,23,New Zealand,NZL,---,2672,00:28:08,1.9 km,00:03:49,02:40:05,90.1 km,00:01:21,01:43:20,21.1 km,04:56:43
Chris Morris,130,23,148,260,30-34,31,NZ,NZL,---,2865,00:29:40,1.9 km,00:04:36,02:37:50,90.1 km,00:01:53,01:42:50,21.1 km,04:56:49
Geoff Jorgensen,131,24,149,246,30-34,33,NZ,NZL,---,2864,00:34:44,1.9 km,00:05:02,02:36:42,90.1 km,00:01:41,01:38:43,21.1 km,04:56:52
Gavin Champion,133,9,151,684,45-49,46,NZ,NZL,---,3025,00:35:48,1.9 km,00:04:25,02:32:51,90.1 km,00:01:43,01:42:22,21.1 km,04:57:09
Brad Hough,134,11,152,844,50-54,51,QLD,AUS,---,3103,00:37:10,1.9 km,00:04:50,02:38:37,90.1 km,00:01:45,01:34:48,21.1 km,04:57:10
Steven Morris,135,21,153,573,40-44,41,BOP,NZL,---,2818,00:30:46,1.9 km,00:04:09,02:39:12,90.1 km,00:02:06,01:41:04,21.1 km,04:57:17
Felipe Vidal,136,25,154,290,30-34,34,NZ,NZL,---,2855,00:34:43,1.9 km,00:03:58,02:33:33,90.1 km,00:01:39,01:43:29,21.1 km,04:57:22
Nathan Johnston,137,23,155,384,35-39,37,---,AUS,---,2746,00:35:23,1.9 km,00:04:26,02:39:20,90.1 km,00:01:38,01:36:40,21.1 km,04:57:27
Michael Robinson,138,11,156,151,25-29,29,NZ,NZL,---,2863,00:33:26,1.9 km,00:03:34,02:36:34,90.1 km,00:01:24,01:42:36,21.1 km,04:57:34
Peter Algie,139,12,157,114,25-29,28,---,NZL,---,2861,00:40:31,1.9 km,00:04:46,02:35:01,90.1 km,00:01:22,01:35:59,21.1 km,04:57:39
Charlotte Gordon,19,2,158,98,18-24,24,---,NZL,---,3391,00:31:38,1.9 km,00:04:48,02:45:46,90.1 km,00:01:35,01:34:06,21.1 km,04:57:53
Damien Thompson,140,24,159,421,35-39,36,---,AUS,---,2737,00:34:39,1.9 km,00:04:30,02:32:58,90.1 km,00:01:56,01:43:53,21.1 km,04:57:56
Andrew Whitford,141,12,160,1053,50-54,51,---,NZL,---,3089,00:33:31,1.9 km,00:06:38,02:31:13,90.1 km,00:02:48,01:43:46,21.1 km,04:57:56
